id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts58225,The Standups,SHOW,"Comedy's freshest voices take the stage in LA for six half-hour specials packed with sly jokes, hilarious anecdotes and awkward confessions.",2017,TV-MA,30,['comedy'],['US'],3.0,tt15250768,6.6,1259.0,2.314,5.8
tm414962,May the Devil Take You,MOVIE,"Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past.",2018,R,110,"['thriller', 'horror']",['ID'],,tt8765496,5.9,4249.0,13.478,6.2
ts55581,The Bride of Habaek,SHOW,"Yoon So Ah is a pragmatic neuropsychiatrist who carries a tremendous financial burden to run her own practice. Her family has been tasked with serving Ha Baek, a reincarnated water god, for many generations, and So Ah is forced to do the same. Ha Baek starts to develop feelings for So Ah, but he has competition for her heart from Hoo Ye, the CEO of a resort company, who clashes with So Ah over a piece of land but then falls in love with her. Can a relationship between a mortal female and a god have a future?",2017,TV-14,67,"['drama', 'comedy', 'fantasy', 'romance']",['KR'],1.0,tt6385752,6.9,2819.0,60.517,7.3
tm370436,The Breaker Upperers,MOVIE,Two women run a business breaking up couples for cash but when one develops a conscience their friendship unravels.,2018,,82,['comedy'],['NZ'],,tt6728096,5.9,6123.0,7.605,5.2
ts81318,When Heroes Fly,SHOW,"Eleven years after falling out, four friends, war veterans of a Special Forces unit, reunite for one final mission: to find Yaeli, a former lover of one of them and sister of another. Their journey will take them deep into the Colombian jungle but, as to succeed, first they must confront the trauma that tore them apart.",2018,,48,"['war', 'drama', 'action']",['IL'],1.0,tt8220344,7.2,3184.0,12.196,7.2
ts56718,El Chapo,SHOW,"A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power of during the '90s and his ultimate downfall in 2016.",2017,TV-MA,44,"['drama', 'action', 'crime', 'history']",['US'],3.0,tt6692188,7.8,18229.0,114.888,7.5
ts89130,If I Hadn't Met You,SHOW,"Eduard, a husband and father who loses his family in a tragic accident, travels to parallel universes to seek a better fate for his beloved wife.",2018,TV-MA,52,"['thriller', 'drama', 'scifi', 'fantasy', 'romance']",['ES'],1.0,tt9817268,7.7,2283.0,4.495,6.9
tm307910,What the Health,MOVIE,"Filmmaker Kip Andersen uncovers the secret to preventing and even reversing chronic diseases, and he investigates why the nation's leading health organizations doesn't want people to know about it.",2017,,97,['documentation'],['US'],,tt6089582,7.4,28911.0,8.27,7.0
ts82218,Hi Score Girl,SHOW,"The year is 1991 and 6th grader Yaguchi Haruo only has video games to live for. He's not popular in school and he's neither handsome, funny, nice nor even friendly. The only thing he has going for him is that he is good at video games. One day at the local arcade, he plays Oono Akira, a fellow classmate but who's popular, smart, pretty and a rich girl that absolutely destroys him at Street Fighter II. Not only does he lose to her 30 times in a row, he can’t beat her at any game. Haruo can’t seem to shake Akira off as she follows him from arcade to arcade everyday after school and beats him every time. As weird as it sounds, the odd couple begins a strange bond and friendship.",2018,TV-PG,27,"['comedy', 'animation', 'action', 'romance']",['JP'],2.0,tt8963328,8.0,2002.0,13.722,8.2
tm321596,The Long Dumb Road,MOVIE,Two guys serendipitously meet at a time when they both find themselves at personal crossroads and decide to embark on an unplanned road trip across the American Southwest.,2018,R,90,['comedy'],['US'],,tt4712076,6.1,3220.0,3.823,5.6
